選ぶ    875
適切    765
最も    683
記述    418
利用者  358
問題    345
介護福祉職      328
行う    281
介護    167
利用    167
生活    146
勧める  133
家族    120
対応    109
自宅    107
話す    100
伝える  100
受ける  99
女性    97
使用    97
支援    94
必要    93
男性    92
相談    91
正しい  89
食事    87
多い    85
認知症  85
自分    83
訪問介護員      75
ホームヘルパー  72
確認    71
事例    71
説明    68
言う    68
入所    67
高齢者  67
障害    66
理解    62
状態    62
答える  62
施設    59
時間    58
一緒    56
行く    56
症状    55
高い    55
作成    54
考える  54
最近    54
使う    51
低下    50
介護老人福祉施設        49
様子    49
促す    49
見る    49
診断    49
介護福祉士      49
読む    49
不安    48
参加    48
障害者  46
入浴    46
入れる  45
現在    44
場合    44
母親    44
トイレ  44
聞く    43
優先    43
希望    41
控える  41
強い    39
用いる  39
法律    38
暮らす  38
目的    38
心配    38
実施    38
示す    37
居室    37
内容    37
歩く    37
日常生活        36
食べる  36
情報    35
生じる  35
どう    35
行動    34
サービス        34
移動    34
すぐ    34
医師    34
出す    33
変更    33
排泄    33
助言    32
該当    32
提案    32
ベッド  32
状況    31
基づく  31
活用    31
日中    30
原因    30
本人    30
設定    30
コミュニケーション      29
検討    29
過ごす  29
場所    29
判断    29
難しい  29
介護支援専門員  29
担当    28
提供    28
地域    28
ホームヘルプサービス    28
社会    27
影響    27
置く    27
持つ    27
思う    27
短期目標        27
訪問介護        27
自立    26
得る    26
増える  26
障害者総合支援法        26
言葉    26
長男    26
入院    26
ケアマネジャー  26
実現    25
向ける  25
困難    25
続ける  25
決める  25
ケア    25
部屋    25
介護過程        25
同意    24
最初    24
伴う    24
息子    24
会話    24
寝る    24
一人    24
今後    24
設置    23
含む    23
合わせる        23
感じる  23
外出    23
来る    23
座る    23
目標    23
役割    23
洗う    23
介護計画        22
評価    22
応じる  22
少ない  22
市町村  22
訪問    22
友人    22
訴える  22
変化    22
進行    22
経管栄養        22
支える  22
質問    22
姿勢    22
グループホーム  22
依頼    21
理由    21
飲む    21
近所    21
始める  21
方法    21
避ける  21
調理    21
介護認定        21
左片麻痺        20
発症    20
準備    20
意向    20
継続    20
浴槽    20
報告    20
見守る  20
歩行    20
父親    20
職員    20
衣服    20
改善    19
義務づける      19
リハビリテーション      19
特徴    19
表情    19
活動    19
衣類    19
職種    18
長い    18
夜間    18
入居    18
介護保険制度    18
総合的  18
取り組む        18
連携    18
関係    18
総合問題        18
出る    18
病院    18
困る    18
階段    18
デイサービス    18
脳梗塞  17
対象    17
毎日    17
新しい  17
結果    17
誤る    17
かく    17
介護老人保健施設        17
知的障害        17
調整    17
用意    17
立つ    17
通所介護        17
転倒    17
観察    17
認知症対応型共同生活介護        16
開催    16
起こす  16
発達    16
身体    16
解決    16
予防    16
拭く    16
起こる  16
居宅介護        16
移乗    16
同居    16
生活支援員      16
繰り返す        16
身体機能        16
発言    16
進む    16
感情    16
保護    16
変える  16
増加    16
趣味    15
意思    15
今日    15
指示    15
仕事    15
申請    15
保険者  15
社会生活        15
治療    15
部位    15
水分    15
下肢    15
老化    15
連絡    15
話しかける      15
看護師  15
規定    15
帰る    15
書く    15
負担    15
タオル  15
右片麻痺        15
上げる  15
大きい  15
経過    15
受診    15
入る    15
睡眠    15
人間関係        14
いつも  14
回復    14
認める  14
以前    14
関わる  14
皮膚    14
運動    14
通う    14
環境    14
周囲    14
疾患    14
課題    14
注意    14
呼吸    14
吸引    14
料理    14
作る    14
記録    14
口腔    14
事業所  14
残す    14
相談支援専門員  14
アセスメント    14
個人情報        14
安全    14
望む    14
領域    13
人間    13
後遺症  13
意識    13
配慮    13
教える  13
形成    13
忘れる  13
摂取    13
介助    13
左側    13
挿入    13
基本    13
服用    13
購入    13
掃除    13
図る    13
意見    13
中心    13
義歯    13
右足    13
仰臥位  13
背臥位  13
可能    13
テレビ  13
終末期  13
福祉用具        13
障害者支援施設  13
医療    13
重視    13
栄養剤  13
脱ぐ    13
施設入所        13
食堂    12
開始    12
認定    12
記憶    12
加齢    12
交流    12
呼ぶ    12
覚える  12
便秘    12
腹部    12
終わる  12
社会福祉士      12
悪い    12
左足    12
留意点  12
外す    12
動かす  12
スプーン        12
ズボン  12
記載    12
食材    12
誘導    12
二人    12
家事    12
両親    12
見直す  12
落ち着く        12
制限    12
可能性  12
注入    12
散歩    12
表す    12
維持    12
認知機能        11
続く    11
保険料  11
麻痺    11
硬い    11
深い    11
睡眠中  11
動く    11
他者    11
興奮    11
計画    11
比べる  11
振る    11
起きる  11
訓練    11
体操    11
決定    11
機会    11
意欲    11
こう    11
端座位  11
向上    11
テーブル        11
位置    11
安心    11
ニーズ  11
切る    11
亡くなる        11
相手    11
同行援護        11
共同生活援助    11
体温    11
保つ    11
安定    11
介護福祉士国家試験      10
能力    10
共有    10
不要    10
指導    10
しばらく        10
機能    10
部分    10
積極的  10
見える  10
幻視    10
段階    10
一度    10
ゆっくり        10
専門職  10
喀痰吸引        10
防止    10
買物    10
布団    10
向かう  10
短い    10
捨てる  10
少し    10
右側    10
清拭    10
合う    10
展開    10
生活課題        10
信頼関係        10
訪問介護計画    10
解釈    10
進める  10
介護者  10
個人    10
虐待    10
長女    10
高齢    10
確保    10
民生委員        10
立ち上がる      10
介護保険        10
低い    10
慣れる  10
自信    10
理学療法士      10
自己    10
超える  10
消毒    10
最期    10
死後    10
退院    10
平成    10
万人    10
視点    9
求める  9
働きかける      9
自室    9
悩む    9
大切    9
元気    9
笑顔    9
チーム  9
都道府県        9
休む    9
体調    9
権利    9
保健所  9
障害支援区分    9
組織    9
促進    9
反応    9
体重    9
住む    9
糖尿病  9
推進    9
意味    9
大声    9
探す    9
触れる  9
受け入れる      9
退院後  9
日常生活動作    9
軽度    9
苦情    9
圧迫    9
咽頭    9
口腔内  9
早い    9
養護者  9
不安定  9
敷く    9
努める  9
渡す    9
よく    9
換気    9
軽減    9
立位    9
適す    9
浅い    9
開ける  9
坐薬    9
座薬    9
保管    9
食品    9
眠れる  9
手伝う  9
服薬    9
レクリエーション        9
妄想    9
弱い    9
使える  9
将来    9
レビー  9
価値観  9
