選ぶ,1272
適切,1070
最も,929
記述,551
利用者,527
利用,302
対応,211
使用,154
支援,511
必要,135
相談,168
正しい,152
確認,107
説明,97
入所,193
高齢者,151
障害,335
状態,117
施設,210
症状,102
作成,76
最近,83
低下,109
様子,72
促す,73
診断,79
参加,77
場合,70
優先,50
希望,62
示す,43
居室,54
内容,83
生じる,39
変更,42
排泄,65
助言,56
該当,46
状況,63
基づく,45
活用,42
設定,35
検討,43
担当,44
提供,72
地域,137
影響,29
自立,113
実現,36
困難,42
同意,29
設置,37
目標,77
役割,32
評価,44
応じる,4
訴える,37
変化,38
進行,37
理由,34
方法,58
準備,30
意向,26
継続,32
報告,44
職員,69
改善,30
特徴,29
職種,34
総合的,23
連携,32
対象,27
結果,37
誤る,0
調整,23
観察,28
発達,40
解決,20
予防,60
同居,26
発言,24
保護,25
意思,36
指示,29
申請,24
負担,48
経過,19
認める,29
環境,44
疾患,50
課題,37
注意,35
事業所,59
望む,16
領域,25
配慮,23
形成,18
摂取,48
意見,27
重視,15
認定,23
交流,16
記載,16
誘導,19
制限,18
可能性,19
維持,19
訓練,108
意欲,12
向上,21
能力,29
共有,13
不要,14
積極的,15
段階,22
防止,23
展開,16
信頼関係,10
解釈,15
確保,24
自信,11
超える,10
最期,11
視点,13
組織,11
促進,13
受け入れる,15
圧迫,10
養護者,0
不安定,14
努める,10
価値観,12
通報,10
分析,14
管理,32
定める,13
沿う,15
防ぐ,10
関連,13
行為,22
複数,16
カンファレンス,13
定期的,11
原則,16
実践,24
達成,11
訪ねる,11
照明,11
表現,8
尊厳,11
日課,13
出現,9
疑う,8
高める,13
看取る,13
発見,8
口頭,12
現象,7
把握,13
徐々に,0
統一,7
制定,7
期待,7
落ち込む,10
選択,11
方向性,8
話し合う,13
測定,12
専念する,0
制度,37
感覚,20
初期,19
現れる,10
留意,11
事前,9
望ましい,6
策定,11
発語,9
作用,20
援助,45
改正,7
筋力,22
担う,7
生活習慣,7
収集,18
方針,13
諦める,7
満足度,8
立案,8
動機,0
明確,10
抑制,7
分泌,16
就寝,20
敏感,7
喪失,10
特徴的,9
目安,5
意思決定,12
調節,7
尊重,10
勤務,6
応答,8
失禁,14
病態,5
強化,9
就労,20
傾く,5
処方,12
原理,7
製品,5
整備,15
任せる,8
著しい,5
自助,11
養育者,5
背景,7
実習生,5
育児,3
休業,1
区域,0
歴史,1
必須,5
事業,70
共感,4
新人,1
和式,3
寝衣,5
動機,0
感覚,20
加齢,21
専門学校,0
除去,9
立案,8
用意する,0
迷惑,4
解釈する,0
末期,0
原理,7
