session,number,answer
34,1,4
34,2,1
34,3,5
34,4,2
34,5,2
34,6,2
34,7,4
34,8,3
34,9,4
34,10,5
34,11,3
34,12,4
34,13,1
34,14,2
34,15,5
34,16,1
34,17,3
34,18,1
34,19,5
34,20,4
34,21,3
34,22,1
34,23,5
34,24,2
34,25,4
34,26,2
34,27,1
34,28,5
34,29,4
34,30,4
34,31,5
34,32,3
34,33,2
34,34,3
34,35,1
34,36,5
34,37,1
34,38,4
34,39,4
34,40,2
34,41,2
34,42,3
34,43,1
34,44,4
34,45,2
34,46,3
34,47,2
34,48,4
34,49,3
34,50,1
34,51,3
34,52,5
34,53,1
34,54,5
34,55,5
34,56,2
34,57,4
34,58,5
34,59,3
34,60,2
34,61,1
34,62,4
34,63,5
34,64,5
34,65,3
34,66,2
34,67,3
34,68,4
34,69,1
34,70,3
34,71,5
34,72,2
34,73,2
34,74,1
34,75,4
34,76,4
34,77,3
34,78,4
34,79,1
34,80,5
34,81,2
34,82,2
34,83,4
34,84,3
34,85,1
34,86,2
34,87,1
34,88,1
34,89,2
34,90,4
34,91,4
34,92,5
34,93,2
34,94,5
34,95,3
34,96,1
34,97,1
34,98,1
34,99,3
34,100,5
34,101,1
34,102,1
34,103,2
34,104,3
34,105,5
34,106,5
34,107,5
34,108,3
34,109,4
34,110,3
34,111,4
34,112,3
34,113,2
34,114,5
34,115,3
34,116,2
34,117,4
34,118,1
34,119,4
34,120,3
34,121,3
34,122,5
34,123,2
34,124,5
34,125,1
