session,number,answer
31,1,3
31,2,2
31,3,1
31,4,5
31,5,2
31,6,1
31,7,5
31,8,2
31,9,4
31,10,5
31,11,3
31,12,1
31,13,1
31,14,5
31,15,2
31,16,4
31,17,3
31,18,3
31,19,2
31,20,1
31,21,4
31,22,1
31,23,5
31,24,3
31,25,4
31,26,3
31,27,5
31,28,1
31,29,2
31,30,2
31,31,4
31,32,5
31,33,3
31,34,2
31,35,1
31,36,5
31,37,3
31,38,4
31,39,4
31,40,3
31,41,1
31,42,2
31,43,3
31,44,1
31,45,4
31,46,2
31,47,3
31,48,5
31,49,1
31,50,2
31,51,2
31,52,1
31,53,2
31,54,3
31,55,4
31,56,3
31,57,5
31,58,5
31,59,2
31,60,3
31,61,5
31,62,4
31,63,4
31,64,3
31,65,4
31,66,5
31,67,2
31,68,2
31,69,2
31,70,4
31,71,1
31,72,5
31,73,3
31,74,5
31,75,2
31,76,4
31,77,3
31,78,5
31,79,4
31,80,4
31,81,2
31,82,3
31,83,1
31,84,3
31,85,3
31,86,4
31,87,5
31,88,2
31,89,3
31,90,5
31,91,2
31,92,4
31,93,4
31,94,2
31,95,1
31,96,4
31,97,1
31,98,5
31,99,5
31,100,4
31,101,1
31,102,2
31,103,1
31,104,4
31,105,1
31,106,1
31,107,2
31,108,4
31,109,5
31,110,4
31,111,3
31,112,1
31,113,5
31,114,2
31,115,1
31,116,2
31,117,3
31,118,1
31,119,4
31,120,5
31,121,3
31,122,1
31,123,5
31,124,4
31,125,3
