session,number,answer
30,1,1
30,2,2
30,3,5
30,4,4
30,5,1
30,6,3
30,7,4
30,8,4
30,9,2
30,10,5
30,11,1
30,12,3
30,13,4
30,14,4
30,15,1
30,16,2
30,17,5
30,18,4
30,19,2
30,20,2
30,21,4
30,22,3
30,23,1
30,24,2
30,25,2
30,26,5
30,27,1
30,28,3
30,29,5
30,30,3
30,31,5
30,32,3
30,33,4
30,34,1
30,35,3
30,36,2
30,37,5
30,38,1
30,39,3
30,40,2
30,41,5
30,42,2
30,43,3
30,44,4
30,45,3
30,46,1
30,47,5
30,48,5
30,49,4
30,50,5
30,51,3
30,52,4
30,53,1
30,54,3
30,55,5
30,56,4
30,57,3
30,58,2
30,59,1
30,60,5
30,61,2
30,62,1
30,63,3
30,64,5
30,65,2
30,66,4
30,67,5
30,68,5
30,69,1
30,70,5
30,71,4
30,72,4
30,73,3
30,74,4
30,75,5
30,76,3
30,77,2
30,78,1
30,79,3
30,80,5
30,81,1
30,82,3
30,83,4
30,84,3
30,85,1
30,86,5
30,87,2
30,88,5
30,89,3
30,90,3
30,91,2
30,92,5
30,93,2
30,94,5
30,95,4
30,96,1
30,97,4
30,98,3
30,99,2
30,100,1
30,101,3
30,102,2
30,103,4
30,104,2
30,105,4
30,106,4
30,107,3
30,108,2
30,109,1
30,110,2
30,111,4
30,112,4
30,113,5
30,114,5
30,115,3
30,116,4
30,117,5
30,118,3
30,119,2
30,120,1
30,121,1
30,122,4
30,123,2
30,124,4
30,125,1
