session,number,answer
38,1,2
38,2,4
38,3,3
38,4,1
38,5,1
38,6,5
38,7,2
38,8,2
38,9,5
38,10,1
38,11,3
38,12,4
38,13,4
38,14,3
38,15,1
38,16,2
38,17,1
38,18,3
38,19,5
38,20,4
38,21,2
38,22,1
38,23,4
38,24,4
38,25,4
38,26,5
38,27,1
38,28,3
38,29,4
38,30,1
38,31,5
38,32,3
38,33,5
38,34,2
38,35,2
38,36,1
38,37,2
38,38,3
38,39,5
38,40,4
38,41,1
38,42,3
38,43,5
38,44,3
38,45,1
38,46,2
38,47,2
38,48,3
38,49,2
38,50,3
38,51,5
38,52,1
38,53,4
38,54,1
38,55,5
38,56,3
38,57,4
38,58,3
38,59,5
38,60,4
38,61,5
38,62,3
38,63,2
38,64,1
38,65,5
38,66,4
38,67,2
38,68,1
38,69,3
38,70,5
38,71,4
38,72,4
38,73,2
38,74,2
38,75,5
38,76,3
38,77,2
38,78,1
38,79,4
38,80,4
38,81,5
38,82,1
38,83,3
38,84,5
38,85,2
38,86,4
38,87,1
38,88,4
38,89,3
38,90,3
38,91,5
38,92,1
38,93,1
38,94,2
38,95,3
38,96,3
38,97,4
38,98,2
38,99,5
38,100,4
38,101,1
38,102,5
38,103,3
38,104,2
38,105,4
38,106,2
38,107,4
38,108,5
38,109,1
38,110,2
38,111,2
38,112,3
38,113,5
38,114,2
38,115,1
38,116,4
38,117,1
38,118,3
38,119,3
38,120,5
38,121,3
38,122,1
38,123,2
38,124,5
38,125,3
