session,number,answer
36,1,5
36,2,2
36,3,5
36,4,3
36,5,4
36,6,1
36,7,1
36,8,3
36,9,5
36,10,5
36,11,2
36,12,3
36,13,5
36,14,4
36,15,4
36,16,1
36,17,3
36,18,2
36,19,3
36,20,1
36,21,3
36,22,1
36,23,1
36,24,4
36,25,5
36,26,4
36,27,2
36,28,2
36,29,5
36,30,4
36,31,3
36,32,2
36,33,5
36,34,1
36,35,4
36,36,5
36,37,3
36,38,4
36,39,1
36,40,1
36,41,4
36,42,2
36,43,5
36,44,3
36,45,3
36,46,"4,5"
36,47,1
36,48,2
36,49,1
36,50,2
36,51,5
36,52,2
36,53,4
36,54,3
36,55,3
36,56,2
36,57,5
36,58,4
36,59,5
36,60,4
36,61,1
36,62,2
36,63,3
36,64,5
36,65,5
36,66,3
36,67,2
36,68,3
36,69,4
36,70,1
36,71,3
36,72,4
36,73,5
36,74,2
36,75,3
36,76,2
36,77,2
36,78,1
36,79,4
36,80,3
36,81,1
36,82,4
36,83,2
36,84,5
36,85,4
36,86,5
36,87,3
36,88,5
36,89,1
36,90,2
36,91,3
36,92,3
36,93,2
36,94,4
36,95,5
36,96,1
36,97,1
36,98,5
36,99,4
36,100,2
36,101,5
36,102,3
36,103,4
36,104,2
36,105,3
36,106,2
36,107,4
36,108,1
36,109,3
36,110,5
36,111,4
36,112,3
36,113,1
36,114,1
36,115,1
36,116,4
36,117,4
36,118,3
36,119,5
36,120,5
36,121,2
36,122,3
36,123,4
36,124,3
36,125,2
