session,number,answer
29,1,5
29,2,4
29,3,4
29,4,1
29,5,1
29,6,2
29,7,2
29,8,5
29,9,3
29,10,2
29,11,3
29,12,2
29,13,1
29,14,3
29,15,4
29,16,5
29,17,4
29,18,1
29,19,2
29,20,3
29,21,1
29,22,1
29,23,4
29,24,3
29,25,4
29,26,2
29,27,4
29,28,2
29,29,4
29,30,5
29,31,3
29,32,5
29,33,5
29,34,2
29,35,3
29,36,1
29,37,2
29,38,3
29,39,2
29,40,2
29,41,4
29,42,4
29,43,4
29,44,5
29,45,5
29,46,3
29,47,1
29,48,4
29,49,4
29,50,2
29,51,3
29,52,1
29,53,2
29,54,1
29,55,3
29,56,2
29,57,1
29,58,5
29,59,1
29,60,5
29,61,1
29,62,2
29,63,5
29,64,2
29,65,1
29,66,5
29,67,1
29,68,3
29,69,5
29,70,1
29,71,4
29,72,1
29,73,4
29,74,5
29,75,3
29,76,3
29,77,5
29,78,4
29,79,2
29,80,5
29,81,3
29,82,2
29,83,4
29,84,4
29,85,1
29,86,5
29,87,4
29,88,4
29,89,1
29,90,4
29,91,3
29,92,2
29,93,4
29,94,5
29,95,3
29,96,3
29,97,2
29,98,1
29,99,1
29,100,4
29,101,2
29,102,5
29,103,3
29,104,2
29,105,1
29,106,3
29,107,2
29,108,5
29,109,"3,4"
29,110,5
29,111,4
29,112,5
29,113,2
29,114,2
29,115,5
29,116,3
29,117,2
29,118,3
29,119,4
29,120,5
29,121,1
29,122,3
29,123,4
29,124,1
29,125,4
