session,number,answer
33,1,1
33,2,3
33,3,2
33,4,4
33,5,2
33,6,3
33,7,4
33,8,3
33,9,2
33,10,4
33,11,2
33,12,4
33,13,3
33,14,1
33,15,5
33,16,1
33,17,1
33,18,2
33,19,5
33,20,4
33,21,1
33,22,5
33,23,3
33,24,4
33,25,2
33,26,3
33,27,5
33,28,2
33,29,5
33,30,1
33,31,3
33,32,1
33,33,3
33,34,4
33,35,3
33,36,5
33,37,4
33,38,1
33,39,4
33,40,1
33,41,3
33,42,5
33,43,3
33,44,5
33,45,2
33,46,3
33,47,2
33,48,5
33,49,1
33,50,4
33,51,4
33,52,2
33,53,3
33,54,1
33,55,5
33,56,2
33,57,3
33,58,3
33,59,3
33,60,2
33,61,5
33,62,1
33,63,5
33,64,3
33,65,2
33,66,2
33,67,2
33,68,1
33,69,4
33,70,5
33,71,3
33,72,4
33,73,2
33,74,1
33,75,2
33,76,5
33,77,1
33,78,1
33,79,2
33,80,5
33,81,2
33,82,5
33,83,4
33,84,3
33,85,1
33,86,4
33,87,3
33,88,1
33,89,5
33,90,5
33,91,2
33,92,5
33,93,3
33,94,2
33,95,3
33,96,4
33,97,1
33,98,4
33,99,2
33,100,3
33,101,5
33,102,1
33,103,4
33,104,2
33,105,5
33,106,4
33,107,1
33,108,2
33,109,1
33,110,5
33,111,2
33,112,4
33,113,1
33,114,1
33,115,4
33,116,なし
33,117,4
33,118,1
33,119,2
33,120,3
33,121,5
33,122,1
33,123,4
33,124,5
33,125,2
