session,number,answer
35,1,4
35,2,3
35,3,2
35,4,3
35,5,4
35,6,3
35,7,5
35,8,5
35,9,2
35,10,1
35,11,4
35,12,4
35,13,1
35,14,2
35,15,4
35,16,4
35,17,1
35,18,1
35,19,4
35,20,1
35,21,3
35,22,1
35,23,4
35,24,3
35,25,2
35,26,5
35,27,5
35,28,2
35,29,2
35,30,5
35,31,4
35,32,5
35,33,1
35,34,2
35,35,5
35,36,3
35,37,2
35,38,5
35,39,2
35,40,1
35,41,2
35,42,3
35,43,4
35,44,4
35,45,1
35,46,3
35,47,3
35,48,5
35,49,1
35,50,3
35,51,4
35,52,5
35,53,3
35,54,1
35,55,2
35,56,5
35,57,3
35,58,5
35,59,3
35,60,1
35,61,2
35,62,4
35,63,5
35,64,3
35,65,5
35,66,2
35,67,4
35,68,1
35,69,4
35,70,1
35,71,5
35,72,2
35,73,3
35,74,1
35,75,2
35,76,1
35,77,3
35,78,4
35,79,5
35,80,5
35,81,1
35,82,4
35,83,5
35,84,2
35,85,5
35,86,3
35,87,5
35,88,1
35,89,3
35,90,4
35,91,1
35,92,4
35,93,2
35,94,3
35,95,4
35,96,4
35,97,3
35,98,5
35,99,3
35,100,4
35,101,1
35,102,2
35,103,5
35,104,2
35,105,1
35,106,5
35,107,5
35,108,4
35,109,2
35,110,1
35,111,3
35,112,4
35,113,3
35,114,4
35,115,2
35,116,3
35,117,2
35,118,5
35,119,1
35,120,3
35,121,5
35,122,2
35,123,2
35,124,1
35,125,1
