session,number,answer
37,1,4
37,2,5
37,3,2
37,4,5
37,5,5
37,6,2
37,7,4
37,8,2
37,9,5
37,10,3
37,11,1
37,12,3
37,13,4
37,14,1
37,15,2
37,16,5
37,17,1
37,18,4
37,19,1
37,20,2
37,21,2
37,22,5
37,23,4
37,24,3
37,25,1
37,26,2
37,27,1
37,28,5
37,29,4
37,30,5
37,31,2
37,32,1
37,33,4
37,34,2
37,35,3
37,36,5
37,37,4
37,38,3
37,39,1
37,40,3
37,41,5
37,42,1
37,43,3
37,44,2
37,45,5
37,46,4
37,47,3
37,48,2
37,49,3
37,50,3
37,51,2
37,52,4
37,53,3
37,54,4
37,55,1
37,56,5
37,57,5
37,58,5
37,59,1
37,60,4
37,61,4
37,62,1
37,63,3
37,64,4
37,65,3
37,66,2
37,67,2
37,68,3
37,69,1
37,70,3
37,71,3
37,72,5
37,73,4
37,74,4
37,75,3
37,76,3
37,77,2
37,78,5
37,79,5
37,80,5
37,81,1
37,82,1
37,83,3
37,84,1
37,85,4
37,86,2
37,87,2
37,88,3
37,89,5
37,90,2
37,91,2
37,92,3
37,93,5
37,94,5
37,95,1
37,96,3
37,97,5
37,98,1
37,99,4
37,100,5
37,101,4
37,102,1
37,103,5
37,104,4
37,105,2
37,106,2
37,107,2
37,108,3
37,109,5
37,110,5
37,111,4
37,112,4
37,113,1
37,114,3
37,115,2
37,116,1
37,117,2
37,118,1
37,119,5
37,120,1
37,121,2
37,122,3
37,123,4
37,124,1
37,125,5
